Invno.,BillingTyp,CompCode,Plant,PlantName,HeadOffice,InvDate,TaxInvNo.,ActDocNo.,Bill2Party,Bil2PrtNme,Bil2PrtPAN,PartyGSTNo,BillStatCd,BillStatNm,Bill2Distc,Ship2Party,ShpPrtyNm,Shp2PAN,Shp2GSTNo,Shp2StatCd,ShpStatNme,Shp2Dist,Shp2City,PayToParty,Pay2PrtNme,MatGroup1,MatGrp1Des,LineItemNo,ItemCode,ItemDes,HSNCode,BatchNo,UOM,BatchQnt,FreeSale,MfgDate,ExpDate,ExcRate,MRP,PTR,SalesRate,SalesAmnt,Discnt%,DiscntAmnt,NetAmt,PlateChrgs,Freight,TaxableAmt,IGSTRate,IGSTAmount,CGSTRate,CGSTAmount,SGSTRate,SGSTAmount,TAmtAftTax,TCSBase,TCSAmount,RoundOff,GrandTotal,PrtOrderNo,PatOrdDte,VehclNo,LRNo,TrnsprtNam,PymntTerm,NoofBoxes,GrsWightof,DistrnChnl,Division,DivDiscri,SalesOffic,SlsOffDes,SalesGroup,SalsGrpDes,MatGrp,MatGrpDesc,IRNNo,AcknowleNo,EwayBillNo,ShipmentNo,ShipCost,FreightAmn,SerEntrySh,FreightPON,SalesEmply,HQCode,HospName
0083000678,S1,1000,1200,,,24-05-2024,DI2410300072,0100001603,10002881,RAJASTHAN MEDICAL SERVICES CO. LTD.,AAFCR2824M,08AAFCR2824M1Z3,08,Rajasthan,JAIPUR,10002881,RAJASTHAN MEDICAL SERVICES CO. LTD.,AAFCR2824M,08AAFCR2824M1Z3,08,Rajasthan,JAIPUR,JAIPUR,10002881,RAJASTHAN MEDICAL SERVICES CO. LTD.,001,IV,11,1400004050,LEVOSAL1.25 & IPR500 RESP SOL 2.5 NRD454,30049099,RS3209,EA,"14,085.000",Sales,16.09.2023,16.08.2025,1.00,,,3.11,"-43,804.35",0.00,0.00,"-43,804.35",0.00,0.00,"-43,804.35",12.00,"-5,256.52",0.00,0.00,0.00,0.00,"-49,060.87",0.00,0.00,0.13,"-49,061.00",,,,,,Payment Within 60 Days,0,0.000,10,01,Pharma Product,,,,,001,IV,,,,,,0.00,,,,,
0090034552,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000005,0090000505,10008927,BHAGWATI MEDICAL AGENCY,BCBPD8208F,20BCBPD8208F1ZC,20,Jharkhand,,10008927,BHAGWATI MEDICAL AGENCY,BCBPD8208F,20BCBPD8208F1ZC,20,Jharkhand,,PALAMU,10008927,BHAGWATI MEDICAL AGENCY,004,Ethical,10,1400004010,KINOFLEX GEL 30 GM,30049099,AO3047,EA,60.000,Sales Return,03.07.2023,03.06.2025,1.00,,,53.13,"-3,187.80",0.00,0.00,"-3,187.80",0.00,0.00,"-3,187.80",12.00,-382.54,0.00,0.00,0.00,0.00,"-3,570.34",0.00,0.00,0.05,"-3,570.39",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,44f4109a70b419316f4f2a21df079261948257572ef95639d63e2ee85d157447,182416254808791,,,,0.00,,,,,
0090034552,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000005,0090000505,10008927,BHAGWATI MEDICAL AGENCY,BCBPD8208F,20BCBPD8208F1ZC,20,Jharkhand,,10008927,BHAGWATI MEDICAL AGENCY,BCBPD8208F,20BCBPD8208F1ZC,20,Jharkhand,,PALAMU,10008927,BHAGWATI MEDICAL AGENCY,004,Ethical,20,1400003243,KINOFLEX MR-4 TABS (10x10),30049061,CFGD3G002,STP,30.000,Sales Return,01.07.2023,01.06.2025,1.00,,,75.44,"-2,263.20",0.00,0.00,"-2,263.20",0.00,0.00,"-2,263.20",12.00,-271.58,0.00,0.00,0.00,0.00,"-2,534.78",0.00,0.00,0.03,"-2,534.81",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,44f4109a70b419316f4f2a21df079261948257572ef95639d63e2ee85d157447,182416254808791,,,,0.00,,,,,
0090034552,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000005,0090000505,10008927,BHAGWATI MEDICAL AGENCY,BCBPD8208F,20BCBPD8208F1ZC,20,Jharkhand,,10008927,BHAGWATI MEDICAL AGENCY,BCBPD8208F,20BCBPD8208F1ZC,20,Jharkhand,,PALAMU,10008927,BHAGWATI MEDICAL AGENCY,004,Ethical,30,1400003273,WELLKART FEM CAPS (2x15),21069099,CF-230319,STP,36.000,Sales Return,01.07.2023,01.06.2025,1.00,,,120.77,"-4,347.72",0.00,0.00,"-4,347.72",0.00,0.00,"-4,347.72",18.00,-782.59,0.00,0.00,0.00,0.00,"-5,130.31",0.00,0.00,0.07,"-5,130.38",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,44f4109a70b419316f4f2a21df079261948257572ef95639d63e2ee85d157447,182416254808791,,,,0.00,,,,,
0090034552,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000005,0090000505,10008927,BHAGWATI MEDICAL AGENCY,BCBPD8208F,20BCBPD8208F1ZC,20,Jharkhand,,10008927,BHAGWATI MEDICAL AGENCY,BCBPD8208F,20BCBPD8208F1ZC,20,Jharkhand,,PALAMU,10008927,BHAGWATI MEDICAL AGENCY,004,Ethical,40,1400003261,ZURAXIM 500 TABS (10x6),30042049,CDW301001,STP,20.000,Sales Return,01.01.2023,31.12.2024,1.00,,,133.93,"-2,678.60",0.00,0.00,"-2,678.60",0.00,0.00,"-2,678.60",12.00,-321.43,0.00,0.00,0.00,0.00,"-3,000.03",0.00,0.00,0.04,"-3,000.07",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,44f4109a70b419316f4f2a21df079261948257572ef95639d63e2ee85d157447,182416254808791,,,,0.00,,,,,
0090034552,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000005,0090000505,10008927,BHAGWATI MEDICAL AGENCY,BCBPD8208F,20BCBPD8208F1ZC,20,Jharkhand,,10008927,BHAGWATI MEDICAL AGENCY,BCBPD8208F,20BCBPD8208F1ZC,20,Jharkhand,,PALAMU,10008927,BHAGWATI MEDICAL AGENCY,004,Ethical,50,1400003270,COLLAHEX CAPSULES (10X1X10'S),21069099,CF-230552,STP,50.000,Sales Return,01.10.2023,01.09.2025,1.00,,,131.36,"-6,568.00",0.00,0.00,"-6,568.00",0.00,0.00,"-6,568.00",18.00,"-1,182.24",0.00,0.00,0.00,0.00,"-7,750.24",0.00,0.00,0.11,"-7,750.35",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,44f4109a70b419316f4f2a21df079261948257572ef95639d63e2ee85d157447,182416254808791,,,,0.00,,,,,
0090034553,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000006,0090000506,10008633,DEVI MEDICAL AGENCY,AILPG9921F,20AILPG9921F1ZH,20,Jharkhand,,10008633,DEVI MEDICAL AGENCY,AILPG9921F,20AILPG9921F1ZH,20,Jharkhand,,DHANBAD,10008633,DEVI MEDICAL AGENCY,004,Ethical,10,1400003276,WELLKART MAX TAB (5x2x15),21069099,BGF-2225,STP,15.000,Sales Return,01.09.2022,01.08.2024,1.00,,,44.49,-667.35,0.00,0.00,-667.35,0.00,0.00,-667.35,18.00,-120.12,0.00,0.00,0.00,0.00,-787.47,0.00,0.00,-0.47,-787.00,,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,119bb0037c4ea94bddd46c6222f8c06e08471116d32c64fb3a1e261b2cb41d7f,182416254918265,,,,0.00,,,,,
0090034554,ZDOM,1000,1101,,,21-05-2024,DI2410200128,0090000507,10008556,AUROBINDO PHARMA LTD,AABCA7366H,36AABCA7366H1ZL,36,Telangana,SANGAREDDY,10008556,AUROBINDO PHARMA LTD,AABCA7366H,36AABCA7366H1ZL,36,Telangana,SANGAREDDY,SANGAREDDY,10008556,AUROBINDO PHARMA LTD,001,IV,11,1400003408,FEPANIL IV 100ML-PARACETAM INF IP 1%W/V,30049099,FGA24E12,EA,"9,700.000",Sales,01.05.2024,01.04.2026,1.00,,,28.00,"2,71,600.00",0.00,0.00,"2,71,600.00",0.00,0.00,"2,71,600.00",12.00,"32,592.00",0.00,0.00,0.00,0.00,"3,04,192.00",0.00,0.00,0.00,"3,04,192.00",842302118,09-01-2024,HP12C8475,91693278409,DOON TEMPO OPERATOR UNION,45 Days from Bill of Landing,194,"1,396.800",10,01,Pharma Product,O001,Mumbai Sales Office,G04,IV Plant,001,IV,80aa507852a1590fb6346ac6f75fca90c4b0e2d8902954314d2b25b1d6306dec,132418364616922,321780433126,18817,,0.00,,,,,
0090034555,ZDOM,1000,1101,,,21-05-2024,DI2410200129,0090000508,10008556,AUROBINDO PHARMA LTD,AABCA7366H,36AABCA7366H1ZL,36,Telangana,SANGAREDDY,10008556,AUROBINDO PHARMA LTD,AABCA7366H,36AABCA7366H1ZL,36,Telangana,SANGAREDDY,SANGAREDDY,10008556,AUROBINDO PHARMA LTD,001,IV,11,1400003408,FEPANIL IV 100ML-PARACETAM INF IP 1%W/V,30049099,FGA24E13,EA,"9,700.000",Sales,01.05.2024,01.04.2026,1.00,,,28.00,"2,71,600.00",0.00,0.00,"2,71,600.00",0.00,0.00,"2,71,600.00",12.00,"32,592.00",0.00,0.00,0.00,0.00,"3,04,192.00",0.00,0.00,0.00,"3,04,192.00",842302143,10-01-2024,HP12C8475,91693278410,DOON TEMPO OPERATOR UNION,45 Days after date of invoice,194,"1,396.800",10,01,Pharma Product,O001,Mumbai Sales Office,G04,IV Plant,001,IV,6400aedd7043a6a72f452e315f554c05386d9dd937516d8bc060218ce2d039dc,132418364789185,321780442531,18817,,0.00,,,,,
0090034557,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000007,0090000509,10009664,JAI MAA DURGA ENTERPRISES,BBHPK8861Q,10BBHPK8861Q2Z3,10,Bihar,,10009664,JAI MAA DURGA ENTERPRISES,BBHPK8861Q,10BBHPK8861Q2Z3,10,Bihar,,BHAGALPUR,10009664,JAI MAA DURGA ENTERPRISES,004,Ethical,10,1400003270,COLLAHEX CAPSULES (10X1X10'S),21069099,CF-230627,STP,30.000,Sales Return,01.11.2023,01.10.2025,1.00,,,131.36,"-3,940.80",0.00,0.00,"-3,940.80",0.00,0.00,"-3,940.80",0.00,0.00,9.00,-354.67,9.00,-354.67,"-4,650.14",0.00,0.00,-0.06,"-4,650.08",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,b6d91ccd6f7e1ba91ff8a6c8225365f920d94584427b515289208fe233f2bd30,182416255492010,,,,0.00,,,,,
0090034557,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000007,0090000509,10009664,JAI MAA DURGA ENTERPRISES,BBHPK8861Q,10BBHPK8861Q2Z3,10,Bihar,,10009664,JAI MAA DURGA ENTERPRISES,BBHPK8861Q,10BBHPK8861Q2Z3,10,Bihar,,BHAGALPUR,10009664,JAI MAA DURGA ENTERPRISES,004,Ethical,20,1400003239,FORIDA -XT SYP 200ML,30045039,CBGJ3J002,EA,60.000,Sales Return,01.10.2023,01.03.2025,1.00,,,85.94,"-5,156.40",0.00,0.00,"-5,156.40",0.00,0.00,"-5,156.40",0.00,0.00,6.00,-309.38,6.00,-309.38,"-5,775.16",0.00,0.00,-0.08,"-5,775.08",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,b6d91ccd6f7e1ba91ff8a6c8225365f920d94584427b515289208fe233f2bd30,182416255492010,,,,0.00,,,,,
0090034557,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000007,0090000509,10009664,JAI MAA DURGA ENTERPRISES,BBHPK8861Q,10BBHPK8861Q2Z3,10,Bihar,,10009664,JAI MAA DURGA ENTERPRISES,BBHPK8861Q,10BBHPK8861Q2Z3,10,Bihar,,BHAGALPUR,10009664,JAI MAA DURGA ENTERPRISES,004,Ethical,30,1400004602,FORIDA-FCM INJ 10 ML,30049099,AL3058,EA,12.000,Sales Return,25.09.2023,31.08.2025,1.00,,,666.97,"-8,003.64",0.00,0.00,"-8,003.64",0.00,0.00,"-8,003.64",0.00,0.00,6.00,-480.22,6.00,-480.22,"-8,964.08",0.00,0.00,-0.12,"-8,963.96",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,b6d91ccd6f7e1ba91ff8a6c8225365f920d94584427b515289208fe233f2bd30,182416255492010,,,,0.00,,,,,
0090034557,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000007,0090000509,10009664,JAI MAA DURGA ENTERPRISES,BBHPK8861Q,10BBHPK8861Q2Z3,10,Bihar,,10009664,JAI MAA DURGA ENTERPRISES,BBHPK8861Q,10BBHPK8861Q2Z3,10,Bihar,,BHAGALPUR,10009664,JAI MAA DURGA ENTERPRISES,004,Ethical,40,1400001135,FORIDA-S INJECTION 5ML,30041090,AA3072,EA,120.000,Sales Return,16.07.2023,16.06.2025,1.00,,,45.00,"-5,400.00",0.00,0.00,"-5,400.00",0.00,0.00,"-5,400.00",0.00,0.00,6.00,-324.00,6.00,-324.00,"-6,048.00",0.00,0.00,-0.08,"-6,047.92",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,b6d91ccd6f7e1ba91ff8a6c8225365f920d94584427b515289208fe233f2bd30,182416255492010,,,,0.00,,,,,
0090034557,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000007,0090000509,10009664,JAI MAA DURGA ENTERPRISES,BBHPK8861Q,10BBHPK8861Q2Z3,10,Bihar,,10009664,JAI MAA DURGA ENTERPRISES,BBHPK8861Q,10BBHPK8861Q2Z3,10,Bihar,,BHAGALPUR,10009664,JAI MAA DURGA ENTERPRISES,004,Ethical,50,1400004001,ILASTIN-FT 70 MD NASAL SPRAY (7ml),30049099,NS2081,EA,12.000,Sales Return,05.12.2022,05.11.2024,1.00,,,167.41,"-2,008.92",0.00,0.00,"-2,008.92",0.00,0.00,"-2,008.92",0.00,0.00,6.00,-120.54,6.00,-120.54,"-2,250.00",0.00,0.00,-0.03,"-2,249.97",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,b6d91ccd6f7e1ba91ff8a6c8225365f920d94584427b515289208fe233f2bd30,182416255492010,,,,0.00,,,,,
0090034557,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000007,0090000509,10009664,JAI MAA DURGA ENTERPRISES,BBHPK8861Q,10BBHPK8861Q2Z3,10,Bihar,,10009664,JAI MAA DURGA ENTERPRISES,BBHPK8861Q,10BBHPK8861Q2Z3,10,Bihar,,BHAGALPUR,10009664,JAI MAA DURGA ENTERPRISES,004,Ethical,60,1400003278,NERVIGOR CAPS (10x1x10),30049099,CD-230950,STP,20.000,Sales Return,01.08.2023,01.07.2025,1.00,,,88.84,"-1,776.80",0.00,0.00,"-1,776.80",0.00,0.00,"-1,776.80",0.00,0.00,6.00,-106.61,6.00,-106.61,"-1,990.02",0.00,0.00,-0.03,"-1,989.99",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,b6d91ccd6f7e1ba91ff8a6c8225365f920d94584427b515289208fe233f2bd30,182416255492010,,,,0.00,,,,,
0090034558,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000008,0090000510,10008797,JEETENDRA MEDICINE HOUSE,AJIPB4760F,20AJIPB4760F1ZS,20,Jharkhand,,10008797,JEETENDRA MEDICINE HOUSE,AJIPB4760F,20AJIPB4760F1ZS,20,Jharkhand,,BOKARO,10008797,JEETENDRA MEDICINE HOUSE,004,Ethical,10,1400003992,NOTALGIA PM (10X10) ALU ALU,30049082,CBKT305001,STP,30.000,Sales Return,01.05.2023,01.04.2025,1.00,,,96.43,"-2,892.90",0.00,0.00,"-2,892.90",0.00,0.00,"-2,892.90",12.00,-347.15,0.00,0.00,0.00,0.00,"-3,240.05",0.00,0.00,0.04,"-3,240.09",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,5c0f3ec3d9c6bc9bc4945a417b8a2485b006fe6af657b44933328858d7e03cdf,182416255631992,,,,0.00,,,,,
0090034558,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000008,0090000510,10008797,JEETENDRA MEDICINE HOUSE,AJIPB4760F,20AJIPB4760F1ZS,20,Jharkhand,,10008797,JEETENDRA MEDICINE HOUSE,AJIPB4760F,20AJIPB4760F1ZS,20,Jharkhand,,BOKARO,10008797,JEETENDRA MEDICINE HOUSE,004,Ethical,20,1400003273,WELLKART FEM CAPS (2x15),21069099,CF-230319,STP,30.000,Sales Return,01.07.2023,01.06.2025,1.00,,,120.76,"-3,622.80",0.00,0.00,"-3,622.80",0.00,0.00,"-3,622.80",18.00,-652.10,0.00,0.00,0.00,0.00,"-4,274.90",0.00,0.00,0.05,"-4,274.95",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,5c0f3ec3d9c6bc9bc4945a417b8a2485b006fe6af657b44933328858d7e03cdf,182416255631992,,,,0.00,,,,,
0090034558,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000008,0090000510,10008797,JEETENDRA MEDICINE HOUSE,AJIPB4760F,20AJIPB4760F1ZS,20,Jharkhand,,10008797,JEETENDRA MEDICINE HOUSE,AJIPB4760F,20AJIPB4760F1ZS,20,Jharkhand,,BOKARO,10008797,JEETENDRA MEDICINE HOUSE,004,Ethical,30,1400003276,WELLKART MAX TAB (5x2x15),21069099,BGF-2225,STP,68.000,Sales Return,01.09.2022,01.08.2024,1.00,,,44.49,"-3,025.32",0.00,0.00,"-3,025.32",0.00,0.00,"-3,025.32",18.00,-544.56,0.00,0.00,0.00,0.00,"-3,569.88",0.00,0.00,0.04,"-3,569.92",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,5c0f3ec3d9c6bc9bc4945a417b8a2485b006fe6af657b44933328858d7e03cdf,182416255631992,,,,0.00,,,,,
0090034558,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000008,0090000510,10008797,JEETENDRA MEDICINE HOUSE,AJIPB4760F,20AJIPB4760F1ZS,20,Jharkhand,,10008797,JEETENDRA MEDICINE HOUSE,AJIPB4760F,20AJIPB4760F1ZS,20,Jharkhand,,BOKARO,10008797,JEETENDRA MEDICINE HOUSE,004,Ethical,40,1400003343,FORIDA -XT PLUS TAB (15x10),30045039,CBFY209006,STP,44.000,Sales Return,01.09.2022,01.08.2024,1.00,,,62.50,"-2,750.00",0.00,0.00,"-2,750.00",0.00,0.00,"-2,750.00",12.00,-330.00,0.00,0.00,0.00,0.00,"-3,080.00",0.00,0.00,0.04,"-3,080.04",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,5c0f3ec3d9c6bc9bc4945a417b8a2485b006fe6af657b44933328858d7e03cdf,182416255631992,,,,0.00,,,,,
0090034560,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000009,0090000511,10008920,LAXMI ENTERPRISES,CNCPB9951Q,20CNCPB9951Q1ZQ,20,Jharkhand,,10008920,LAXMI ENTERPRISES,CNCPB9951Q,20CNCPB9951Q1ZQ,20,Jharkhand,,KODERMA,10008920,LAXMI ENTERPRISES,004,Ethical,10,1400003236,COLIOCAL XT TABS (10x15),30049099,CBFT3I002,STP,30.000,Sales Return,01.09.2023,01.08.2025,1.00,,,127.23,"-3,816.90",0.00,0.00,"-3,816.90",0.00,0.00,"-3,816.90",12.00,-458.03,0.00,0.00,0.00,0.00,"-4,274.93",0.00,0.00,0.07,"-4,275.00",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,ddb1a18ee964e867c40400204ca67aeff9829bebb743592326bcbdd605bee51b,182416255761044,,,,0.00,,,,,
0090034563,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000010,0090000512,10008370,NEW RAMESHWARAM PHARMA,EOBPS9952A,10EOBPS9952A1Z3,10,Bihar,PATNA,10008370,NEW RAMESHWARAM PHARMA,EOBPS9952A,10EOBPS9952A1Z3,10,Bihar,PATNA,PATNA,10008370,NEW RAMESHWARAM PHARMA,004,Ethical,10,1400003232,CILATONE-T 40 TABS (10x15),30049099,CBGQ3J003,STP,20.000,Sales Return,01.10.2023,01.09.2025,1.00,,,55.24,"-1,104.80",0.00,0.00,"-1,104.80",0.00,0.00,"-1,104.80",0.00,0.00,6.00,-66.29,6.00,-66.29,"-1,237.38",0.00,0.00,0.00,"-1,237.38",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,abec184c410592c18bd426606c4a08b43e8f9d4d9bdd6f33b7e2fbc99b0aa62e,182416255990497,,,,0.00,,,,,
0090034563,ZRCN,1000,1301,C&F-Classic Marketing & Associates,,21-05-2024,CN2411000010,0090000512,10008370,NEW RAMESHWARAM PHARMA,EOBPS9952A,10EOBPS9952A1Z3,10,Bihar,PATNA,10008370,NEW RAMESHWARAM PHARMA,EOBPS9952A,10EOBPS9952A1Z3,10,Bihar,PATNA,PATNA,10008370,NEW RAMESHWARAM PHARMA,004,Ethical,20,1400003270,COLLAHEX CAPSULES (10X1X10'S),21069099,CF-230627,STP,50.000,Sales Return,01.11.2023,01.10.2025,1.00,,,144.49,"-7,224.50",0.00,0.00,"-7,224.50",0.00,0.00,"-7,224.50",0.00,0.00,9.00,-650.21,9.00,-650.21,"-8,524.92",0.00,0.00,0.01,"-8,524.93",,,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,,,,,004,Ethical,abec184c410592c18bd426606c4a08b43e8f9d4d9bdd6f33b7e2fbc99b0aa62e,182416255990497,,,,0.00,,,,,
