Invno.,BillingTyp,CompCode,Plant,PlantName,HeadOffice,InvDate,TaxInvNo.,ActDocNo.,Bill2Party,Bil2PrtNme,Bil2PrtPAN,PartyGSTNo,BillStatCd,BillStatNm,Bill2Distc,Ship2Party,ShpPrtyNm,Shp2PAN,Shp2GSTNo,Shp2StatCd,ShpStatNme,Shp2Dist,Shp2City,PayToParty,Pay2PrtNme,MatGroup1,MatGrp1Des,LineItemNo,ItemCode,ItemDes,HSNCode,BatchNo,UOM,BatchQnt,FreeSale,MfgDate,ExpDate,ExcRate,MRP,PTR,SalesRate,SalesAmnt,Discnt%,DiscntAmnt,NetAmt,PlateChrgs,Freight,TaxableAmt,IGSTRate,IGSTAmount,CGSTRate,CGSTAmount,SGSTRate,SGSTAmount,TAmtAftTax,TCSBase,TCSAmount,RoundOff,GrandTotal,PrtOrderNo,PatOrdDte,VehclNo,LRNo,TrnsprtNam,PymntTerm,NoofBoxes,GrsWightof,DistrnChnl,Division,DivDiscri,SalesOffic,SlsOffDes,SalesGroup,SalsGrpDes,MatGrp,MatGrpDesc,IRNNo,AcknowleNo,EwayBillNo,ShipmentNo,ShipCost,FreightAmn,SerEntrySh,FreightPON,SalesEmply,HQCode,HospName
0090032971,ZDOM,1000,1301,C&F-Classic Marketing & Associates,,05-04-2024,DI2411000002,90000027,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,MADHUBANI,10008798,SHAKUNTALA DRUG AGENCY,004,Ethical,31,1400003227,CILATONE - 10 TABS (10x15),30049099,CBFW305001,STP,25.000,Sales,01.05.2023,01.04.2025,1.00,"140,25","100,18",90.16,"2,254.00",0.00,0.00,"2,254.00",0.00,0.00,"2,254.00",0.00,0.00,6.00,135.24,6.00,135.24,"2,524.48","2,524.48",2.52,-0.01,"2,526.99",01,04-04-2024,,,,21 Day from Bill Date,1,13.364,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,6c351306515cf21d69b3f7574684377734d7b55495a0bd4b2a2f00e227083cde,182415913271143,,,,0.00,,,,,
0090032971,ZDOM,1000,1301,C&F-Classic Marketing & Associates,,05-04-2024,DI2411000002,90000027,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,MADHUBANI,10008798,SHAKUNTALA DRUG AGENCY,004,Ethical,41,1400003227,CILATONE - 10 TABS (10x15),30049099,CBFW305001,STP,5.000,Free,01.05.2023,01.04.2025,1.00,"140,25","100,18",90.16,450.80,100.00,450.80,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,01,04-04-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,6c351306515cf21d69b3f7574684377734d7b55495a0bd4b2a2f00e227083cde,182415913271143,,,,0.00,,,,,
0090032971,ZDOM,1000,1301,C&F-Classic Marketing & Associates,,05-04-2024,DI2411000002,90000027,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,MADHUBANI,10008798,SHAKUNTALA DRUG AGENCY,004,Ethical,51,1400003270,COLLAHEX CAPSULES (10X1X10'S),21069099,CF-230420,STP,100.000,Sales,01.08.2023,01.07.2025,1.00,"341,00","231,19",208.07,"20,807.00",0.00,0.00,"20,807.00",0.00,0.00,"20,807.00",0.00,0.00,9.00,"1,872.63",9.00,"1,872.63","24,552.26","24,552.26",24.55,-0.15,"24,576.66",01,04-04-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,6c351306515cf21d69b3f7574684377734d7b55495a0bd4b2a2f00e227083cde,182415913271143,,,,0.00,,,,,
0090032971,ZDOM,1000,1301,C&F-Classic Marketing & Associates,,05-04-2024,DI2411000002,90000027,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,MADHUBANI,10008798,SHAKUNTALA DRUG AGENCY,004,Ethical,61,1400003270,COLLAHEX CAPSULES (10X1X10'S),21069099,CF-230420,STP,30.000,Free,01.08.2023,01.07.2025,1.00,"341,00","231,19",208.07,"6,242.10",100.00,"6,242.10",0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,01,04-04-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,6c351306515cf21d69b3f7574684377734d7b55495a0bd4b2a2f00e227083cde,182415913271143,,,,0.00,,,,,
0090032971,ZDOM,1000,1301,C&F-Classic Marketing & Associates,,05-04-2024,DI2411000002,90000027,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,MADHUBANI,10008798,SHAKUNTALA DRUG AGENCY,004,Ethical,71,1400003243,KINOFLEX MR-4 TABS (10x10),30049061,CFGD3G002,STP,50.000,Sales,01.07.2023,01.06.2025,1.00,"185,90","132,79",119.51,"5,975.50",0.00,0.00,"5,975.50",0.00,0.00,"5,975.50",0.00,0.00,6.00,358.53,6.00,358.53,"6,692.56","6,692.56",6.69,-0.04,"6,699.21",01,04-04-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,6c351306515cf21d69b3f7574684377734d7b55495a0bd4b2a2f00e227083cde,182415913271143,,,,0.00,,,,,
0090032971,ZDOM,1000,1301,C&F-Classic Marketing & Associates,,05-04-2024,DI2411000002,90000027,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,MADHUBANI,10008798,SHAKUNTALA DRUG AGENCY,004,Ethical,81,1400003243,KINOFLEX MR-4 TABS (10x10),30049061,CFGD3G002,STP,10.000,Free,01.07.2023,01.06.2025,1.00,"185,90","132,79",119.51,"1,195.10",100.00,"1,195.10",0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,01,04-04-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,6c351306515cf21d69b3f7574684377734d7b55495a0bd4b2a2f00e227083cde,182415913271143,,,,0.00,,,,,
0090032971,ZDOM,1000,1301,C&F-Classic Marketing & Associates,,05-04-2024,DI2411000002,90000027,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,MADHUBANI,10008798,SHAKUNTALA DRUG AGENCY,004,Ethical,91,1400003245,KINOFLEX MR-8 TABS (10x10),30049061,CBGE305001,STP,25.000,Sales,01.05.2023,01.04.2025,1.00,"328,90","234,93",211.44,"5,286.00",0.00,0.00,"5,286.00",0.00,0.00,"5,286.00",0.00,0.00,6.00,317.16,6.00,317.16,"5,920.32","5,920.32",5.92,-0.03,"5,926.21",01,04-04-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,6c351306515cf21d69b3f7574684377734d7b55495a0bd4b2a2f00e227083cde,182415913271143,,,,0.00,,,,,
0090032971,ZDOM,1000,1301,C&F-Classic Marketing & Associates,,05-04-2024,DI2411000002,90000027,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,MADHUBANI,10008798,SHAKUNTALA DRUG AGENCY,004,Ethical,101,1400003245,KINOFLEX MR-8 TABS (10x10),30049061,CBGE305001,STP,5.000,Free,01.05.2023,01.04.2025,1.00,"328,90","234,93",211.44,"1,057.20",100.00,"1,057.20",0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,01,04-04-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,6c351306515cf21d69b3f7574684377734d7b55495a0bd4b2a2f00e227083cde,182415913271143,,,,0.00,,,,,
0090032971,ZDOM,1000,1301,C&F-Classic Marketing & Associates,,05-04-2024,DI2411000002,90000027,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,MADHUBANI,10008798,SHAKUNTALA DRUG AGENCY,004,Ethical,111,1400003278,NERVIGOR CAPS (10x1x10),30049099,CSD-23002,STP,100.000,Sales,01.11.2023,01.10.2025,1.00,"218,90","156,36",140.72,"14,072.00",0.00,0.00,"14,072.00",0.00,0.00,"14,072.00",0.00,0.00,6.00,844.32,6.00,844.32,"15,760.64","15,760.64",15.76,-0.09,"15,776.31",01,04-04-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,6c351306515cf21d69b3f7574684377734d7b55495a0bd4b2a2f00e227083cde,182415913271143,,,,0.00,,,,,
0090032971,ZDOM,1000,1301,C&F-Classic Marketing & Associates,,05-04-2024,DI2411000002,90000027,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,10008798,SHAKUNTALA DRUG AGENCY,BJLPR0521A,10BJLPR0521A1Z0,10,Bihar,,MADHUBANI,10008798,SHAKUNTALA DRUG AGENCY,004,Ethical,121,1400003278,NERVIGOR CAPS (10x1x10),30049099,CSD-23002,STP,30.000,Free,01.11.2023,01.10.2025,1.00,"218,90","156,36",140.72,"4,221.60",100.00,"4,221.60",0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,01,04-04-2024,,,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,6c351306515cf21d69b3f7574684377734d7b55495a0bd4b2a2f00e227083cde,182415913271143,,,,0.00,,,,,
