Invno.,BillingTyp,CompCode,Plant,PlantName,HeadOffice,InvDate,TaxInvNo.,ActDocNo.,Bill2Party,Bil2PrtNme,Bil2PrtPAN,PartyGSTNo,BillStatCd,BillStatNm,Bill2Distc,Ship2Party,ShpPrtyNm,Shp2PAN,Shp2GSTNo,Shp2StatCd,ShpStatNme,Shp2Dist,Shp2City,PayToParty,Pay2PrtNme,MatGroup1,MatGrp1Des,LineItemNo,ItemCode,ItemDes,HSNCode,BatchNo,UOM,BatchQnt,FreeSale,MfgDate,ExpDate,ExcRate,MRP,PTR,SalesRate,SalesAmnt,Discnt%,DiscntAmnt,NetAmt,PlateChrgs,Freight,TaxableAmt,IGSTRate,IGSTAmount,CGSTRate,CGSTAmount,SGSTRate,SGSTAmount,TAmtAftTax,TCSBase,TCSAmount,RoundOff,GrandTotal,PrtOrderNo,PatOrdDte,VehclNo,LRNo,TrnsprtNam,PymntTerm,NoofBoxes,GrsWightof,DistrnChnl,Division,DivDiscri,SalesOffic,SlsOffDes,SalesGroup,SalsGrpDes,MatGrp,MatGrpDesc,IRNNo,AcknowleNo,EwayBillNo,ShipmentNo,ShipCost,FreightAmn,SerEntrySh,FreightPON,SalesEmply,HQCode,HospName
0083000676,S1,1000,1101,,,20-05-2024,DI2410200124,0100001522,10007531,AHS LIFE LLP,ABRFA6062A,02ABRFA6062A1ZV,02,Himachal Pradesh,SOLAN,10007531,AHS LIFE LLP,ABRFA6062A,02ABRFA6062A1ZV,02,Himachal Pradesh,SOLAN,BADDI,10007531,AHS LIFE LLP,001,IV,11,1400002470,PRIBAX-PARACETAMOL INFUSION IP-100ML,30049099,A4055,EA,"10,100.000",Sales,01.03.2024,01.02.2026,1.00,,,19.00,"-1,91,900.00",0.00,0.00,"-1,91,900.00",0.00,0.00,"-1,91,900.00",0.00,0.00,2.50,"-4,797.50",2.50,"-4,797.50","-2,01,495.00",0.00,0.00,0.00,"-2,01,495.00",AHS/2023-24/635,07-03-2024,HP938556,10931,MAHALUXMI SEVA SOCIETY,Payment Within 45 Days,101,"1,333.200",10,01,Pharma Product,O002,Baddi Sales Office,G04,IV Plant,001,IV,,,,18766,,0.00,,,,,
0090034404,ZDOM,1000,1101,,,17-05-2024,DI2410200112,0090000460,10005859,EVOLET HEALTHCARE PVT. LTD.,AACCE6027A,07AACCE6027A1Z7,07,Delhi,DELHI,10005859,EVOLET HEALTHCARE PVT. LTD.,AACCE6027A,07AACCE6027A1Z7,07,Delhi,DELHI,NEW DELHI,10005859,EVOLET HEALTHCARE PVT. LTD.,001,IV,11,1400001168,GALEKS 10ML-N/D XYLO. BP 0.05%-TAJI/KYRG,30049099,ND4009E,EA,"20,100.000",Sales,01.04.2024,01.03.2027,1.00,,,9.70,"1,94,970.00",0.00,0.00,"1,94,970.00",0.00,0.00,"1,94,970.00",12.00,"23,396.40",0.00,0.00,0.00,0.00,"2,18,366.40",0.00,0.00,-0.40,"2,18,366.00",180,03-08-2023,HP12Q5532,01,ROYAL SUPRO WELFARE SOCIETY,25% Adv. & 75% before Dispatch,67,502.500,10,01,Pharma Product,O001,Mumbai Sales Office,G04,IV Plant,001,IV,92a5c1d2bc9ffc6a6aa03c032d7f263577826f536d0feb7dea92537133cdaec5,132418327312465,341778518390,18732,,0.00,,,,,
0090034408,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,17-05-2024,DI2410900139,0090000461,10008896,A.R PHARMA,APXPR3042R,05APXPR3042R1ZZ,05,Uttarakhand,,10008896,A.R PHARMA,APXPR3042R,05APXPR3042R1ZZ,05,Uttarakhand,,DEHRADUN,10008896,A.R PHARMA,004,Ethical,11,1400003236,COLIOCAL XT TABS (10x15),30049099,CBFT307001,STP,35.000,Sales,01.07.2023,01.06.2025,1.00,,,201.54,"7,053.90",0.00,0.00,"7,053.90",0.00,0.00,"7,053.90",12.00,846.47,0.00,0.00,0.00,0.00,"7,900.37",0.00,0.00,-0.11,"7,900.26",MAIL,17-05-2024,,01,,21 Day from Bill Date,0,18.811,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,5ecd7522f81353c7fc4739d7654b440cd0b8283e629bedb41f426625fe91efe4,142414882673424,,,,0.00,,,0000007206,F00016,
0090034408,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,17-05-2024,DI2410900139,0090000461,10008896,A.R PHARMA,APXPR3042R,05APXPR3042R1ZZ,05,Uttarakhand,,10008896,A.R PHARMA,APXPR3042R,05APXPR3042R1ZZ,05,Uttarakhand,,DEHRADUN,10008896,A.R PHARMA,004,Ethical,12,1400003236,COLIOCAL XT TABS (10x15),30049099,CBFT3I002,STP,15.000,Sales,01.09.2023,01.08.2025,1.00,,,201.54,"3,023.10",0.00,0.00,"3,023.10",0.00,0.00,"3,023.10",12.00,362.77,0.00,0.00,0.00,0.00,"3,385.87",0.00,0.00,-0.04,"3,385.83",MAIL,17-05-2024,,01,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,5ecd7522f81353c7fc4739d7654b440cd0b8283e629bedb41f426625fe91efe4,142414882673424,,,,0.00,,,0000007206,F00016,
0090034408,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,17-05-2024,DI2410900139,0090000461,10008896,A.R PHARMA,APXPR3042R,05APXPR3042R1ZZ,05,Uttarakhand,,10008896,A.R PHARMA,APXPR3042R,05APXPR3042R1ZZ,05,Uttarakhand,,DEHRADUN,10008896,A.R PHARMA,004,Ethical,21,1400003236,COLIOCAL XT TABS (10x15),30049099,CBFT3I002,STP,15.000,Free,01.09.2023,01.08.2025,1.00,,,201.54,"3,023.10",100.00,"3,023.10",0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MAIL,17-05-2024,,01,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,5ecd7522f81353c7fc4739d7654b440cd0b8283e629bedb41f426625fe91efe4,142414882673424,,,,0.00,,,0000007206,F00016,
0090034408,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,17-05-2024,DI2410900139,0090000461,10008896,A.R PHARMA,APXPR3042R,05APXPR3042R1ZZ,05,Uttarakhand,,10008896,A.R PHARMA,APXPR3042R,05APXPR3042R1ZZ,05,Uttarakhand,,DEHRADUN,10008896,A.R PHARMA,004,Ethical,31,1400003239,FORIDA -XT SYP 200ML,30045039,CBGJ3J002,EA,50.000,Sales,01.10.2023,01.03.2025,1.00,,,123.75,"6,187.50",0.00,0.00,"6,187.50",0.00,0.00,"6,187.50",12.00,742.50,0.00,0.00,0.00,0.00,"6,930.00",0.00,0.00,-0.09,"6,929.91",MAIL,17-05-2024,,01,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,5ecd7522f81353c7fc4739d7654b440cd0b8283e629bedb41f426625fe91efe4,142414882673424,,,,0.00,,,0000007206,F00016,
0090034408,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,17-05-2024,DI2410900139,0090000461,10008896,A.R PHARMA,APXPR3042R,05APXPR3042R1ZZ,05,Uttarakhand,,10008896,A.R PHARMA,APXPR3042R,05APXPR3042R1ZZ,05,Uttarakhand,,DEHRADUN,10008896,A.R PHARMA,004,Ethical,41,1400003239,FORIDA -XT SYP 200ML,30045039,CBGJ3J002,EA,15.000,Free,01.10.2023,01.03.2025,1.00,,,123.75,"1,856.25",100.00,"1,856.25",0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MAIL,17-05-2024,,01,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,5ecd7522f81353c7fc4739d7654b440cd0b8283e629bedb41f426625fe91efe4,142414882673424,,,,0.00,,,0000007206,F00016,
0090034409,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,17-05-2024,DI2410900140,0090000462,10008931,VINU MEDICAL AGENCY,AAEFV9118Q,09AAEFV9118Q1ZB,09,Uttar Pradesh,,10008931,VINU MEDICAL AGENCY,AAEFV9118Q,09AAEFV9118Q1ZB,09,Uttar Pradesh,,MUZZAFARNAGAR,10008931,VINU MEDICAL AGENCY,004,Ethical,11,1400003232,CILATONE-T 40 TABS (10x15),30049099,CBGQ3J003,STP,100.000,Sales,01.10.2023,01.09.2025,1.00,,,79.55,"7,955.00",0.00,0.00,"7,955.00",0.00,0.00,"7,955.00",0.00,0.00,6.00,477.30,6.00,477.30,"8,909.60",0.00,0.00,-0.27,"8,909.33",MAIL,17-05-2024,,01,,21 Day from Bill Date,0,"3,826.800",10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,eaa6b7c61376676483fe6b3c0e0448d4d351bd90b2c9a0ae477edbf1fecfa2ce,142414882716668,,,,0.00,,,E0338,H00079,
0090034409,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,17-05-2024,DI2410900140,0090000462,10008931,VINU MEDICAL AGENCY,AAEFV9118Q,09AAEFV9118Q1ZB,09,Uttar Pradesh,,10008931,VINU MEDICAL AGENCY,AAEFV9118Q,09AAEFV9118Q1ZB,09,Uttar Pradesh,,MUZZAFARNAGAR,10008931,VINU MEDICAL AGENCY,004,Ethical,21,1400003232,CILATONE-T 40 TABS (10x15),30049099,CBGQ3J003,STP,20.000,Free,01.10.2023,01.09.2025,1.00,,,79.55,"1,591.00",100.00,"1,591.00",0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,MAIL,17-05-2024,,01,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,eaa6b7c61376676483fe6b3c0e0448d4d351bd90b2c9a0ae477edbf1fecfa2ce,142414882716668,,,,0.00,,,E0338,H00079,
0090034409,ZDOM,1000,1302,C&F-Raj Pharmaceutical Company,,17-05-2024,DI2410900140,0090000462,10008931,VINU MEDICAL AGENCY,AAEFV9118Q,09AAEFV9118Q1ZB,09,Uttar Pradesh,,10008931,VINU MEDICAL AGENCY,AAEFV9118Q,09AAEFV9118Q1ZB,09,Uttar Pradesh,,MUZZAFARNAGAR,10008931,VINU MEDICAL AGENCY,004,Ethical,31,1400001216,GLITAME M1000 TABLET(5x2x15),30042019,CBGC3J001,STP,50.000,Sales,01.10.2023,01.09.2025,1.00,,,79.55,"3,977.50",0.00,0.00,"3,977.50",0.00,0.00,"3,977.50",0.00,0.00,6.00,238.65,6.00,238.65,"4,454.80",0.00,0.00,-0.13,"4,454.67",MAIL,17-05-2024,,01,,21 Day from Bill Date,0,0.000,10,01,Pharma Product,O003,Zirakpur Sales Ofc,G09,Ethical HOD,004,Ethical,eaa6b7c61376676483fe6b3c0e0448d4d351bd90b2c9a0ae477edbf1fecfa2ce,142414882716668,,,,0.00,,,E0338,H00079,
